"trial_ref","year","location","host_genotype","trial_design","plot_length.m.","plot_width.m.","plant_density","row_spacing","replicates","planting_date","emergence_date","flowering_date","pod_fill_date","mid_late_pod_fill","first_sign_disease","trade_name","fungicide_ai","dose_ai.ha","n_treatment","fungicide_application_1","fungicide_application_2","fungicide_application_3","fungicide_application_4","fungicide_application_5","fungicide_application_6","fungicide_application_7","total_fungicide","harvest_date","final_assessment","PM_final_severity","rating_scale","disease_error","D_error_type","grain_yield.t.ha.","raw_graded","Y_Msquare","yield_error","Y_error_type","yield_gain","prop_YG","raw_data_avail","comments","days_harvest.planting","AUDPC_m","AUDPC_sd","AUDPS_m","AUDPS_sd","Inc_Ms"
"mung1617/01","2017","Hermitage","Jade","RCB",28.4666666666667,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.438649474719831,NA,0.0186257869010656,0.327882883260902,"stdev",NA,NA,NA,NA,NA,106.333333333333,4.50924975282289,129.333333333333,4.93288286231625,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",28.7,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.444369163403489,NA,0.0186257869010656,0.353234372194601,"stdev",NA,NA,NA,NA,NA,117.666666666667,6.21154838452807,141.333333333333,6.35085296108588,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.66666666666667,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.518302266244695,NA,0.0186257869010656,0.187402443105199,"stdev",NA,NA,NA,NA,NA,114.333333333333,33.7354907083524,138,33.6452076825214,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.56666666666667,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,3,2017-03-24,2017-04-07,NA,NA,NA,NA,NA,2,2017-06-26,2017-05-11,7,"1-9",0,"stdev",0.440721378256055,NA,0.0186257869010656,0.138127175028504,"stdev",NA,NA,NA,NA,NA,125.166666666667,16.6458202961985,147.666666666667,17.8978583448784,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.63333333333333,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.354886590280652,NA,0.0186257869010656,0.28590839994877,"stdev",NA,NA,NA,NA,NA,138.666666666667,21.6583317301526,164.666666666667,23.0289672658878,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.63333333333333,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.501646334147201,NA,0.0186257869010656,0.0492419229338341,"stdev",NA,NA,NA,NA,NA,172.333333333333,51.4643889824151,200.333333333333,56.0921860274079,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.56666666666667,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Custodia","200 g/L tebuconazole + 120 g/L azoxystrobin",60,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.582801318162182,NA,0.0186257869010656,0.127082748777984,"stdev",NA,NA,NA,NA,NA,163.833333333333,38.1750354725878,189,43.0929228528305,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.6,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.646696864871417,NA,0.0186257869010656,0.0321124854935506,"stdev",NA,NA,NA,NA,NA,140.833333333333,33.6687293097517,168.333333333333,34.6458270695524,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.56666666666667,2,"NaN",0.5,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.612341281120431,NA,0.0186257869010656,0.0368233552910816,"stdev",NA,NA,NA,NA,NA,155.666666666667,26.7036202289752,184.666666666667,28.7460142164672,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",6.63333333333333,2,"NaN",1,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Throttle","propiconazole",125,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,7.66666666666667,"1-9",0.577350269189626,"stdev",0.553027780191918,NA,0.0186257869010656,0.326088516607044,"stdev",NA,NA,NA,NA,NA,152,39.9499687108764,178,44.3959457608462,32673.3814814815
"mung1617/01","2017","Hermitage","Jade","RCB",29.7666666666667,2,"NaN",0.25,3,2017-02-13,2017-02-20,NA,NA,NA,2017-03-24,"Folicur","tebuconazole",62,4,2017-03-27,NA,NA,NA,NA,NA,NA,1,2017-06-26,2017-05-11,8,"1-9",0,"stdev",0.457436360943691,NA,0.0186257869010656,0.442641518219761,"stdev",NA,NA,NA,NA,NA,188.833333333333,21.1974841274462,220,20.6639783197718,32673.3814814815
